code,description
M5450,"Low back pain, unspecified"
M5451,Vertebrogenic low back pain
M5459,Other low back pain
M5416,"Radiculopathy, lumbar region"
M542,Cervicalgia
M546,Pain in thoracic spine
M549,"Dorsalgia, unspecified"
G43101,"Migraine with aura, not intractable, with status migrainosus"
G43109,"Migraine with aura, not intractable, without status migrainosus"
G43001,"Migraine without aura, not intractable, with status migrainosus"
G43009,"Migraine without aura, not intractable, without status migrainosus"
M2550,Pain in unspecified joint
M2559,Pain in other specified joint
M25511,Pain in right shoulder
M25512,Pain in left shoulder
M25519,Pain in unspecified shoulder
M25521,Pain in right elbow
M25522,Pain in left elbow
M25529,Pain in unspecified elbow
M25531,Pain in right wrist
M25532,Pain in left wrist
M25539,Pain in unspecified wrist
M25541,Pain in joints of right hand
M25542,Pain in joints of left hand
M25549,Pain in joints of unspecified hand
M25551,Pain in right hip
M25552,Pain in left hip
M25559,Pain in unspecified hip
M25561,Pain in right knee
M25562,Pain in left knee
M25569,Pain in unspecified knee
M170,Bilateral primary osteoarthritis of knee
M172,Bilateral post-traumatic osteoarthritis of knee
M174,Other bilateral secondary osteoarthritis of knee
M175,Other unilateral secondary osteoarthritis of knee
M179,"Osteoarthritis of knee, unspecified"
M1710,"Unilateral primary osteoarthritis, unspecified knee"
M1711,"Unilateral primary osteoarthritis, right knee"
M1712,"Unilateral primary osteoarthritis, left knee"
M160,Bilateral primary osteoarthritis of hip
M162,Bilateral osteoarthritis resulting from hip dysplasia
M164,Bilateral post-traumatic osteoarthritis of hip
M166,Other bilateral secondary osteoarthritis of hip
M167,Other unilateral secondary osteoarthritis of hip
M169,"Osteoarthritis of hip, unspecified"
M1909,"Primary osteoarthritis, other specified site"
M1919,"Post-traumatic osteoarthritis, other specified site"
M1929,"Secondary osteoarthritis, other specified site"
M1990,"Unspecified osteoarthritis, unspecified site"
M1991,"Primary osteoarthritis, unspecified site"
M1992,"Post-traumatic osteoarthritis, unspecified site"
M1993,"Secondary osteoarthritis, unspecified site"
M19011,"Primary osteoarthritis, right shoulder"
M7500,Adhesive capsulitis of unspecified shoulder
M7501,Adhesive capsulitis of right shoulder
M7502,Adhesive capsulitis of left shoulder
M7520,"Bicipital tendinitis, unspecified shoulder"
M7521,"Bicipital tendinitis, right shoulder"
M7522,"Bicipital tendinitis, left shoulder"
M7530,Calcific tendinitis of unspecified shoulder
M7531,Calcific tendinitis of right shoulder
M7532,Calcific tendinitis of left shoulder
M7540,Impingement syndrome of unspecified shoulder
M5400,"Panniculitis affecting regions of neck and back, site unspecified"
M5401,"Panniculitis affecting regions of neck and back, occipito-atlanto-axial region"
M5402,"Panniculitis affecting regions of neck and back, cervical region"
